실험 번호,Epoch,Batch Size,Dropout Rate,Learning Rate,L2 Norm,Model Depth,Train Loss (Best),Test Loss (Best),Train Acc (Best),Test Acc (Best)
1,40,32,0.1,0.0001,1e-05,ResNet18,0.0063 (ep:34),1.7754 (ep:1),0.9984 (ep:32),0.3880 (ep:27)
2,40,32,0.1,0.0001,1e-05,ResNet34,0.0003 (ep:40),1.5105 (ep:1),1.0000 (ep:36),0.3775 (ep:2)
3,40,32,0.1,0.0001,0.0,ResNet18,0.0012 (ep:40),1.6453 (ep:1),1.0000 (ep:40),0.3817 (ep:18)
4,40,32,0.1,0.0001,0.0,ResNet34,0.0002 (ep:40),1.9330 (ep:3),1.0000 (ep:35),0.3796 (ep:3)
5,40,32,0.1,5e-05,1e-05,ResNet18,0.0054 (ep:24),1.3201 (ep:1),0.9989 (ep:24),0.3743 (ep:16)
6,40,32,0.1,5e-05,1e-05,ResNet34,0.0069 (ep:37),1.5204 (ep:1),0.9979 (ep:36),0.3975 (ep:7)
7,40,32,0.1,5e-05,0.0,ResNet18,0.0073 (ep:40),1.3694 (ep:1),0.9989 (ep:40),0.3722 (ep:1)
8,40,32,0.1,5e-05,0.0,ResNet34,0.0141 (ep:32),1.7184 (ep:1),0.9974 (ep:26),0.3817 (ep:2)
9,40,32,0.3,0.0001,1e-05,ResNet18,0.0029 (ep:37),1.6713 (ep:1),0.9995 (ep:37),0.3638 (ep:3)
10,40,32,0.3,0.0001,1e-05,ResNet34,0.0117 (ep:24),1.5172 (ep:1),0.9971 (ep:24),0.4017 (ep:3)
11,40,32,0.3,0.0001,0.0,ResNet18,0.0020 (ep:21),1.8989 (ep:1),0.9997 (ep:20),0.3680 (ep:3)
12,40,32,0.3,0.0001,0.0,ResNet34,0.0104 (ep:40),1.4925 (ep:1),0.9979 (ep:33),0.4027 (ep:1)
13,40,32,0.3,5e-05,1e-05,ResNet18,0.0032 (ep:32),1.4388 (ep:1),0.9995 (ep:32),0.3796 (ep:24)
14,40,32,0.3,5e-05,1e-05,ResNet34,0.0108 (ep:30),1.6948 (ep:2),0.9966 (ep:30),0.3964 (ep:9)
15,40,32,0.3,5e-05,0.0,ResNet18,0.0086 (ep:29),1.4865 (ep:1),0.9982 (ep:30),0.3375 (ep:4)
16,40,32,0.3,5e-05,0.0,ResNet34,0.0041 (ep:40),1.7141 (ep:1),0.9995 (ep:39),0.3722 (ep:11)
17,40,64,0.1,0.0001,1e-05,ResNet18,0.0025 (ep:38),1.6614 (ep:1),0.9992 (ep:21),0.3575 (ep:2)
18,40,64,0.1,0.0001,1e-05,ResNet34,0.0022 (ep:28),1.7151 (ep:2),0.9997 (ep:28),0.3964 (ep:2)
19,40,64,0.1,0.0001,0.0,ResNet18,0.0002 (ep:34),1.6979 (ep:1),1.0000 (ep:25),0.3607 (ep:12)
20,40,64,0.1,0.0001,0.0,ResNet34,0.0072 (ep:26),1.8081 (ep:1),0.9987 (ep:32),0.4048 (ep:40)
21,40,64,0.1,5e-05,1e-05,ResNet18,0.0002 (ep:38),1.3184 (ep:1),1.0000 (ep:25),0.3481 (ep:1)
22,40,64,0.1,5e-05,1e-05,ResNet34,0.0025 (ep:24),1.6821 (ep:1),0.9995 (ep:24),0.4027 (ep:12)
23,40,64,0.1,5e-05,0.0,ResNet18,0.0006 (ep:40),1.2900 (ep:1),1.0000 (ep:9),0.3544 (ep:23)
24,40,64,0.1,5e-05,0.0,ResNet34,0.0015 (ep:29),1.6287 (ep:1),1.0000 (ep:24),0.3901 (ep:8)
25,40,64,0.3,0.0001,1e-05,ResNet18,0.0001 (ep:39),1.6524 (ep:1),1.0000 (ep:21),0.3396 (ep:11)
26,40,64,0.3,0.0001,1e-05,ResNet34,0.0004 (ep:40),1.7958 (ep:1),1.0000 (ep:34),0.4122 (ep:25)
27,40,64,0.3,0.0001,0.0,ResNet18,0.0022 (ep:28),1.3793 (ep:1),0.9997 (ep:28),0.3533 (ep:16)
28,40,64,0.3,0.0001,0.0,ResNet34,0.0045 (ep:27),1.6574 (ep:2),0.9987 (ep:26),0.4175 (ep:1)
29,40,64,0.3,5e-05,1e-05,ResNet18,0.0004 (ep:40),1.3317 (ep:1),1.0000 (ep:38),0.3691 (ep:13)
30,40,64,0.3,5e-05,1e-05,ResNet34,0.0004 (ep:39),1.5262 (ep:1),1.0000 (ep:35),0.3901 (ep:7)
31,40,64,0.3,5e-05,0.0,ResNet18,0.0003 (ep:39),1.4731 (ep:1),1.0000 (ep:11),0.3722 (ep:18)
32,40,64,0.3,5e-05,0.0,ResNet34,0.0032 (ep:32),1.6207 (ep:1),0.9989 (ep:27),0.3807 (ep:27)
